EMD_CD,data
50110259,조천읍
50110140,내도동
50110107,건입동
50110122,노형동
50110129,도남동
50110127,도두일동
50110128,도두이동
50110130,도련일동
50110105,삼도일동
50110138,도평동
50110117,아라일동
50110118,아라이동
50110113,삼양일동
50110114,삼양이동
50110106,삼도이동
50110116,봉개동
50110115,삼양삼동
50110137,연동
50130250,대정읍
50110310,한경면
50110250,한림읍
50110330,우도면
50110253,애월읍
50110256,구좌읍
50110111,화북일동
50110112,화북이동
50110139,해안동
50110102,일도이동
50110101,일도일동
50110126,이호이동
50110134,오등동
50110136,영평동
50110123,외도일동
50110119,오라일동
50110121,오라삼동
50110109,용담이동
50110120,오라이동
50110104,이도이동
50110135,월평동
50110108,용담일동
50110103,이도일동
50110110,용담삼동
50110125,이호일동
50110124,외도이동
50110133,회천동
50110131,도련이동
50110132,용강동
50130109,신효동
50130106,서홍동
50130115,월평동
50130112,중문동
50130111,토평동
50130108,하효동
50130103,서호동
50130118,하원동
50130121,하예동
50130101,서귀동
50130119,색달동
50130113,회수동
50130104,호근동
50130253,남원읍
50130102,법환동
50130120,상예동
50130110,보목동
50130105,동홍동
50130107,상효동
50130114,대포동
50130320,표선면
50130310,안덕면
50130116,강정동
50130259,성산읍
50130117,도순동
50130122,영남동
